Sequence1,Sequence2,Time_Seconds
3,118,0.066113
3,119,0.071934
3,120,0.065096
3,121,0.118685
3,122,0.072578
3,123,0.062016
3,124,0.019704
3,125,0.024162
3,126,0.032804
3,127,0.034066
3,128,0.032363
3,129,0.073314
3,130,0.039461
3,131,0.038728
3,132,0.048614
3,133,0.048373
3,134,0.049058
3,135,0.058506
3,136,0.046405
3,137,0.110523
3,138,0.053037
3,139,0.045484
3,140,0.044462
3,141,0.081239
3,142,0.049394
3,143,0.083066
3,144,0.048017
3,145,0.0548
3,146,0.064415
3,147,0.052519
3,148,0.048365
3,149,0.037866
3,150,0.048904
3,151,0.060589
3,152,0.039085
3,153,0.044244
3,154,0.036013
3,155,0.014634
3,156,0.034532
3,157,0.08135
3,158,0.055788
3,159,0.049002
3,160,0.065137
3,161,0.081737
3,162,0.032895
3,163,0.023777
3,164,0.024631
3,165,0.066753
3,166,0.033609
3,167,0.032011
3,168,0.06194
3,169,0.094456
3,170,0.032467
3,171,0.030434
3,172,0.033626
3,173,0.034334
3,174,0.029151
3,175,0.033292
3,176,0.0561
3,177,0.028259
3,178,0.028292
3,179,0.032157
3,180,0.026217
3,181,0.033386
4,5,0.102286
4,6,0.096735
4,7,0.132561
4,8,0.135988
4,9,0.106615
4,10,0.221805
4,11,0.183357
4,12,0.10446
4,13,0.335314
4,14,0.098672
4,15,0.120027
4,16,0.161115
4,17,0.19913
4,18,0.219003
4,19,0.229448
4,20,0.156885
4,21,0.144156
4,22,0.129563
4,23,0.137294
4,24,0.157438
4,25,0.209605
4,26,0.183053
4,27,0.149128
4,28,0.148542
4,29,0.15099
4,30,0.166827
4,31,0.292568
4,32,0.142074
4,33,0.242807
4,34,0.157107
4,35,0.132647
4,36,0.146117
4,37,0.140204
4,38,0.164055
4,39,0.14435
4,40,0.134135
4,41,0.135799
4,42,0.143622
4,43,0.124564
4,44,0.146426
4,45,0.122095
4,46,0.166766
4,47,0.135749
4,48,0.242133
4,49,0.412603
4,50,0.208639
4,51,0.171678
4,52,0.158348
4,53,0.145835
4,54,0.147501
4,55,0.164179
4,56,0.140621
4,57,0.215869
4,58,0.164407
4,59,0.167762
4,60,0.150097
4,61,0.137105
4,62,0.160473
4,63,0.138225
4,64,0.152149
4,65,0.132371
4,66,0.126549
4,67,0.122204
4,68,0.139196
4,69,0.129858
4,70,0.130933
4,71,0.122878
4,72,0.160476
4,73,0.140514
4,74,0.138493
4,75,0.145787
4,76,0.146535
4,77,0.129622
4,78,0.137741
4,79,0.145784
4,80,0.162988
4,81,0.146563
4,82,0.161801
4,83,0.145376
4,84,0.146732
4,85,0.184975
4,86,0.194886
4,87,0.14353
4,88,0.153809
4,89,0.137776
4,90,0.13661
4,91,0.140791
4,92,0.140741
4,93,0.156633
4,94,0.141232
4,95,0.125007
4,96,0.140557
4,97,0.140894
4,98,0.156295
4,99,0.142754
4,100,0.134151
4,101,0.14852
4,102,0.123859
4,103,0.156177
4,104,0.080553
4,105,0.060911
4,106,0.062514
4,107,0.062453
4,108,0.078106
4,109,0.078108
4,110,0.078105
4,111,0.078107
4,112,0.07811
4,113,0.078652
4,114,0.078503
4,115,0.07811
4,116,0.078593
4,117,0.063376
4,118,0.078933
4,119,0.063403
4,120,0.078107
4,121,0.078106
4,122,0.078107
4,123,0.078564
4,124,0.015621
4,125,0.019074
4,126,0.01251
4,127,0.031248
4,128,0.015621
4,129,0.082161
4,130,0.058881
4,131,0.062487
4,132,0.079508
4,133,0.061452
4,134,0.078534
4,135,0.078182
4,136,0.078111
4,137,0.082888
4,138,0.074675
4,139,0.068547
4,140,0.06289
4,141,0.063072
4,142,0.078102
4,143,0.078559
4,144,0.100733
4,145,0.167961
4,146,0.085262
4,147,0.069494
4,148,0.057977
4,149,0.058568
4,150,0.063876
4,151,0.065551
4,152,0.063053
4,153,0.055361
4,154,0.063042
4,155,0.026606
4,156,0.052955
4,157,0.141579
4,158,0.093783
4,159,0.088211
4,160,0.115503
4,161,0.077174
4,162,0.035894
4,163,0.038705
4,164,0.043745
4,165,0.072
4,166,0.044204
4,167,0.034992
4,168,0.033487
4,169,0.135499
4,170,0.047343
4,171,0.054903
4,172,0.043776
4,173,0.04506
4,174,0.042877
4,175,0.048456
4,176,0.079936
4,177,0.044925
4,178,0.046351
4,179,0.048886
4,180,0.082436
4,181,0.046898
5,6,0.147262
5,7,0.169545
5,8,0.186617
5,9,0.239146
5,10,0.187263
5,11,0.136626
5,12,0.156013
5,13,0.15409
5,14,0.15837
5,15,0.143182
5,16,0.159352
5,17,0.282972
5,18,0.221184
5,19,0.204619
5,20,0.160116
5,21,0.158405
5,22,0.139284
5,23,0.141538
5,24,0.145016
5,25,0.138172
5,26,0.149353
5,27,0.1643
5,28,0.158851
5,29,0.155855
5,30,0.171138
5,31,0.14353
5,32,0.141856
5,33,0.135685
5,34,0.16294
5,35,0.175814
5,36,0.139906
5,37,0.180565
5,38,0.141265
5,39,0.158057
5,40,0.141934
5,41,0.139829
5,42,0.210728
5,43,0.13533
5,44,0.158348
5,45,0.131719
5,46,0.143432
5,47,0.127609
5,48,0.16994
5,49,0.238795
5,50,0.137984
5,51,0.148118
5,52,0.151523
5,53,0.162936
5,54,0.140661
5,55,0.158089
5,56,0.153161
5,57,0.159335
5,58,0.142387
5,59,0.14949
5,60,0.149321
5,61,0.126663
5,62,0.130488
5,63,0.126756
5,64,0.149383
5,65,0.149829
5,66,0.133867
5,67,0.138108
5,68,0.142495
5,69,0.125662
5,70,0.14354
5,71,0.13166
5,72,0.207712
5,73,0.134264
5,74,0.136106
5,75,0.136267
5,76,0.14192
5,77,0.1083
5,78,0.143659
5,79,0.142821
5,80,0.136728
5,81,0.135961
5,82,0.143742
5,83,0.141406
5,84,0.124473
5,85,0.145081
5,86,0.116527
5,87,0.143417
5,88,0.151698
5,89,0.127105
5,90,0.131492
5,91,0.141596
5,92,0.126657
5,93,0.135454
5,94,0.120023
5,95,0.127748
5,96,0.149867
5,97,0.104454
5,98,0.104726
5,99,0.127561
5,100,0.095855
5,101,0.1257
5,102,0.063439
5,103,0.078568
5,104,0.061153
5,105,0.044972
5,106,0.035587
5,107,0.04924
5,108,0.041061
5,109,0.05132
5,110,0.051205
5,111,0.04743
5,112,0.03166
5,113,0.046979
5,114,0.050618
5,115,0.044002
5,116,0.04367
5,117,0.04507
5,118,0.04644
5,119,0.047498
5,120,0.063043
5,121,0.047458
5,122,0.050369
5,123,0.033392
5,124,0.013308
5,125,0.013507
5,126,0.006591
5,127,0.01785
5,128,0.009163
5,129,0.045548
5,130,0.039294
5,131,0.037922
5,132,0.041756
5,133,0.03139
5,134,0.082225
5,135,0.044695
5,136,0.061809
5,137,0.049104
5,138,0.045887
5,139,0.031563
5,140,0.049424
5,141,0.029629
5,142,0.065233
5,143,0.039246
5,144,0.047206
5,145,0.058571
5,146,0.04934
5,147,0.064843
5,148,0.05829
5,149,0.049646
5,150,0.047303
5,151,0.117462
5,152,0.059372
5,153,0.047606
5,154,0.044593
5,155,0.003596
5,156,0.079267
5,157,0.137553
5,158,0.082226
5,159,0.083299
5,160,0.081663
5,161,0.067653
5,162,0.048239
5,163,0.035218
5,164,0.040081
5,165,0.082499
5,166,0.048656
5,167,0.062026
5,168,0.062907
5,169,0.123206
5,170,0.036833
5,171,0.041341
5,172,0.063962
5,173,0.040425
5,174,0.049814
5,175,0.035533
5,176,0.084283
5,177,0.049514
5,178,0.041937
5,179,0.036575
5,180,0.04768
5,181,0.037987
6,7,0.167975
6,8,0.143398
6,9,0.190438
6,10,0.176651
6,11,0.156027
6,12,0.153033
6,13,0.141096
6,14,0.146591
6,15,0.119206
6,16,0.172382
6,17,0.248659
6,18,0.18298
6,19,0.218842
6,20,0.18835
6,21,0.142814
6,22,0.13748
6,23,0.221049
6,24,0.1236
6,25,0.111958
6,26,0.141683
6,27,0.162793
6,28,0.136009
6,29,0.145924
6,30,0.166513
6,31,0.166571
6,32,0.11645
6,33,0.14788
6,34,0.141151
6,35,0.135542
6,36,0.124372
6,37,0.137605
6,38,0.178447
6,39,0.300418
6,40,0.233156
6,41,0.138765
6,42,0.128775
6,43,0.14217
6,44,0.17391
6,45,0.166546
6,46,0.146484
6,47,0.153035
6,48,0.190865
6,49,0.185712
6,50,0.156398
6,51,0.130171
6,52,0.143959
6,53,0.141457
6,54,0.133748
6,55,0.134279
6,56,0.125891
6,57,0.122073
6,58,0.165946
6,59,0.124892
6,60,0.141917
6,61,0.120139
6,62,0.098575
6,63,0.118511
6,64,0.111182
